Date,Score,PositiveScore,NeutralScore,NegativeScore
2021-06-13 00:00:00+00:00,0.8689,0.226,0.774,0.0
2021-06-04 00:00:00+00:00,-0.4215,0.0,0.517,0.483
2021-05-22 00:00:00+00:00,0.4404,0.304,0.552,0.144
2021-05-11 00:00:00+00:00,0.4404,0.438,0.562,0.0
2021-05-07 00:00:00+00:00,0.5859,0.444,0.556,0.0
2021-04-26 00:00:00+00:00,-0.296,0.0,0.934,0.066
2021-03-12 00:00:00+00:00,-0.3182,0.0,0.813,0.187
2021-02-08 00:00:00+00:00,-0.3291,0.089,0.766,0.145
2020-07-18 00:00:00+00:00,0.0772,0.245,0.755,0.0
2020-07-01 00:00:00+00:00,0.8126,0.259,0.741,0.0
2021-05-25 00:00:00+00:00,-0.0541,0.0895,0.7945,0.116
2021-05-24 00:00:00+00:00,0.7545,0.3427,0.6573,0.0
2021-05-20 00:00:00+00:00,0.4244,0.1624,0.8376,0.0
2021-05-16 00:00:00+00:00,-0.1326,0.0932,0.7978,0.109
2021-05-13 00:00:00+00:00,0.3862,0.325,0.6215,0.0535
2021-03-24 00:00:00+00:00,-0.0256,0.013,0.942,0.045
2021-03-13 00:00:00+00:00,-0.1204,0.018,0.951,0.031
2021-03-02 00:00:00+00:00,-0.1702,0.0,0.8253,0.1747
2021-02-20 00:00:00+00:00,0.2522,0.191,0.784,0.025
2021-02-19 00:00:00+00:00,0.0604,0.1263,0.802,0.0717
2021-02-14 00:00:00+00:00,0.36,0.176,0.824,0.0
2021-02-11 00:00:00+00:00,-0.4078,0.0,0.631,0.369
2021-02-10 00:00:00+00:00,-0.17,0.0,0.935,0.065
2021-02-07 00:00:00+00:00,0.2782,0.209,0.791,0.0
2021-02-04 00:00:00+00:00,-0.2123,0.0,0.7753,0.2247
2020-12-20 00:00:00+00:00,0.1468,0.14,0.86,0.0
